"Country","Talk Groups","Name"
"Worldwide","9517","M17-M17 Module C"
"Worldwide","91","Worldwide"
"Worldwide","9071","Tac 1  JOTA  YOTA"
"Worldwide","9072","Tac 2  JOTA  YOTA"
"Worldwide","9073","Tac 3  JOTA  YOTA"
"Worldwide","9074","Tac 4  JOTA  YOTA"
"Worldwide","9075","Tac 5  JOTA  YOTA"
"Worldwide","9076","Tac 6  JOTA  YOTA"
"Worldwide","9077","Tac 7  JOTA  YOTA"
"Worldwide","9078","Tac 8  JOTA  YOTA"
"Worldwide","907","JOTA JOTI YOTA"
"Worldwide","937","French Language FRANCOPHONIE"
"Worldwide","969","Worldwide PRIDE (Allstar 56108)"
"Worldwide","970","POTA"
"Worldwide","973","SOTA"
"Worldwide","98002","Hamfurs"
"Worldwide","16777215","All Call"
"Vietnam","452","Vietnam"
"Venezuela","7341","(YV1) Zona 1"
"Venezuela","7342","(YV2) Zona 2"
"Venezuela","7343","(YV3) Zona 3"
"Venezuela","7344","(YV4) Zona 4"
"Venezuela","7345","(YV5) Zona 5"
"Venezuela","7346","(YV6) Zona 6"
"Venezuela","7347","(YV7) Zona 7"
"Venezuela","7348","(YV8) Zona 8"
"Venezuela","7349","(YV9) Zona 9"
"Venezuela","734","VENEZUELA"
"Vanuatu","541","Vanuatu"
"Uzbekistan","434","Uzbekistan"
"USA","33041","Hispanos"
"USA","31001","N. A. TAC 1"
"USA","31002","N. A. TAC 2"
"USA","31003","N. A. TAC 3"
"USA","3100","USA Nationwide"
"USA","31004","N. A. TAC 4"
"USA","31260","ZOMBIE Alert USA / XLX240B"
"USA","3101","Alabama"
"USA","31005","N. A. TAC 5"
"USA","3102","Alaska"
"USA","31006","N. A. TAC 6"
"USA","31007","N. A. TAC 7"
"USA","3104","Arizona"
"USA","31008","N. A. TAC 8"
"USA","3105","Arkansas"
"USA","31009","N. A. TAC 9"
"USA","3106","California"
"USA","31010","Alabama Link"
"USA","3108","Colorado"
"USA","3109","Connecticut"
"USA","3110","Delaware"
"USA","3111","District of Columbia"
"USA","3112","Florida"
"USA","3113","Georgia"
"USA","3115","Hawai"
"USA","3116","Idaho"
"USA","3117","Illinois"
"USA","3118","Indiana"
"USA","3119","Iowa"
"USA","3120","Kansas"
"USA","3121","Kentucky"
"USA","3122","Louisiana"
"USA","3123","Maine"
"USA","3124","Maryland"
"USA","3125","Massachusetts"
"USA","3126","Michigan"
"USA","3127","Minnesota"
"USA","3128","Mississippi"
"USA","3129","Missouri"
"USA","3130","Montana"
"USA","31290","NA Talk Box"
"USA","3131","Nebraska"
"USA","3132","Nevada"
"USA","3133","New Hampshire"
"USA","3134","New Jersey"
"USA","3135","New Mexico"
"USA","3136","New York"
"USA","3137","North Carolina"
"USA","3138","North Dakota"
"USA","3139","Ohio"
"USA","3140","Oklahoma"
"USA","3141","Oregon"
"USA","3142","Pennsylvania"
"USA","3143","Puerto Rico"
"USA","3144","Rhode Island"
"USA","3145","South Carolina"
